id,flow_id,flow_name,role,route,screen,state,device,environment,entry_path,preconditions,step_number,branch,action,expected_transition,actual_transition,api_endpoint,api_result,request_id,database_tables,database_result,rls_result,audit_event,sentry_issue,sentry_result,affected_roles,affected_role_result,purpose_clear,primary_action_clear,unnecessary_ui,generic_ai_patterns,copy_direct,native_behavior,football_specific,visual_consistency,accessibility,status,severity,evidence,issue,fix_commit,retest_status,notes
QA-003,STAGING-FIXTURE-LEAK,Staging smoke artifacts in product UI,coach parent and club admin,13 selected flows,Cross-role product surfaces,loaded,responsive browser viewport,staging,Role-specific direct routes,Exact smoke markers and canonical child health state known,2,data contamination,Run guarded smoke then inspect database and authenticated child-health reads,No engineering fixtures or changed sensitive state remain after smoke,33 of 33 smoke checks passed and authenticated child-health readback remained canonical,/v1/*,All smoke requests passed,,booking invoice group session invite squad match event payout child health,Zero visible smoke markers and canonical medical emergency and consent state confirmed,Direct RLS verified separately,Smoke writes and health restoration audited,,,coach parent and club admin,All 13 previously contaminated flows passed fixture detection,passed,passed,passed,passed,passed,not native,affected screens are football and family workflows,passed,automated controls passed; native semantic blocked,fixed,medium,reviews/ios-native-audit/screenshots/024-fixture-leak-contact-sheet.png | reviews/ios-native-audit/screenshots/027-child-medical-restored.png,Staging smoke previously persisted product records and overwrote child health state,fix(api): restore staging after smoke tests,33 of 33 smoke checks and 71 of 71 fixture checks passed,Exact-marker cleanup runs before and after; health restores through audited API routes; audit history is retained
API-003,BOOKING-SOFT-DELETE-READ,Soft-deleted bookings exposed by API,coach,/v1/bookings,Coach development completion queue,loaded,responsive browser viewport,staging,Coach home,Historical smoke bookings are soft-deleted,2,default deny,Open coach home and compare visible completion count with active database rows then request a retired detail,Only active bookings and active participant relationships are readable,API returned 3 awaiting-completion items matching 3 active past rows and returned 404 for a retired detail,/v1/bookings,Active list 200 and retired detail 404,,Booking and BookingParticipant,Soft-deleted bookings and participant relationships excluded,Direct RLS verified separately,,,,coach,Retired sessions no longer appear or grant participant access,passed,passed,passed,passed,passed,not native,booking completion is a football delivery flow,passed,automated browser controls passed; native semantic blocked,fixed,high,reviews/ios-native-audit/screenshots/026-soft-deleted-bookings-visible-before.png | reviews/ios-native-audit/screenshots/028-booking-soft-delete-filtered.png,Soft-deleted booking and participant rows were visible through list and detail authority,fix(api): hide soft-deleted bookings,2 focused tests API typecheck live count and 11 coach-core flows passed,Manual review exposed separate generic athlete copy tracked as UI-009
UI-009,COMPLETION-ATHLETE-LABEL,Generic athlete labels in completion queue,coach,/,Coach development completion queue,loaded,responsive browser viewport,staging,Coach home,Three active past bookings and roster names available,1,task copy,Inspect each completion task label,Each task identifies the linked athlete by name,Rows lead with Alfie Barton and Maisie Barton with service and date underneath,/v1/bookings and /v1/coaches/:coachId/roster,Both authorities return successfully,,Booking BookingParticipant and roster projection,Roster names are joined to active booking athlete IDs for display,Direct RLS verified separately,,,,coach,Coach can distinguish every active completion task,passed,passed,passed,passed,passed,not native,booking completion is a football delivery flow,passed,automated browser controls passed; native semantic blocked,fixed,medium,reviews/ios-native-audit/screenshots/028-booking-soft-delete-filtered.png | reviews/ios-native-audit/screenshots/029-completion-athlete-labels-fixed.png,Completion tasks previously used the generic Athlete label,fix(coach): name completion tasks,source boundary typecheck lint 11 coach flows and 71 cross-role flows passed,Manual review confirmed one athlete name per task with one Complete action
UI-010,EMERGENCY-CONTACT-VALUE-LAYOUT,Emergency contact value overflow,parent and guardian,app/child/[id]/emergency.tsx,Emergency Contacts,loaded,responsive browser viewport,staging,Parent opens child emergency contacts,Seeded contact has a long email address,1,trust critical contact,Inspect phone and email values,Every contact value remains fully visible inside the card,The complete phone and email render inside the card and the email fits on one line,/v1/athletes/:athleteId/emergency-contacts,Authenticated read passed,,EmergencyContact,Data unchanged,Direct RLS verified separately,Route records emergency_contacts.read; live event verification pending,,,parent and guardian,Trust-critical contact details are readable,passed,passed,passed,passed,passed,shared React Native component; native semantic pending,football session safety contact,passed,values remain selectable; native semantic blocked,fixed,high,reviews/ios-native-audit/screenshots/030-emergency-email-clipped-before.png | reviews/ios-native-audit/screenshots/031-emergency-email-visible-after.png,The contact email overflowed the card and hid the domain suffix,fix(family): keep emergency contact details visible,boundary test typecheck lint 12 parent-core flows and 390 by 844 visual check passed,The layout keeps Dynamic Type wrapping available instead of truncating trust-critical data
UI-011,BOOKING-CONFIRMATION-SIMPLIFICATION,Booking confirmation copy and layout,parent and self-booking athlete,app/book/[coachId]/confirmation.tsx,Confirm booking,incomplete draft,responsive browser viewport,staging,Direct step five route,Authenticated user has no selected date or time,5,incomplete and pending confirmation,Review confirmation copy layout and action state,Use direct product language keep content scrollable do not claim confirmation early and disable an incomplete submission,Screen shows concise payment ownership copy a disabled Confirm booking action and scrollable details; successful create copy now says Booking sent,/v1/bookings,No create request for the incomplete draft,,Booking,No write attempted,Not applicable without a write,No booking audit event expected without a write,,,parent and self-booking athlete,Booking state and payment ownership are explicit,passed,passed,passed,passed,passed,shared React Native screen; native interaction pending,football coaching booking,passed,disabled state remains explicit; native semantic blocked,fixed,high,reviews/ios-native-audit/screenshots/032-booking-confirmation-before.png | reviews/ios-native-audit/screenshots/033-booking-confirmation-after.png,The screen explained the live API claimed confirmation before coach acceptance and let long copy run under the footer,fix(booking): simplify confirmation screen,11 focused assertions typecheck lint and 22 parent flows passed,Successful staging create and coach confirmation remain scheduled for guarded end-to-end write proof
UI-012,SETTINGS-HUB-SIMPLIFICATION,Settings identity and copy simplification,coach parent and athlete,app/settings/index.tsx,Settings,loaded,responsive browser viewport,staging,Open Settings from each role,Authenticated role account has a long staging email,1,shared identity and task copy,Inspect the account card and every visible task label,Keep the full account identity visible and use direct customer language,Complete coach parent and athlete emails render on one line and visible rows use short outcome labels,/v1/me,Authenticated profile read passed,,User,Data unchanged,Direct RLS verified separately,,,,coach parent and athlete,Every role sees a legible identity and direct settings tasks,passed,passed,passed,passed,passed,shared React Native screen; native interaction pending,account settings support football participation,passed,email accessibility label retains the full value; native semantic blocked,fixed,medium,reviews/ios-native-audit/screenshots/034-settings-email-wrap-before.png | reviews/ios-native-audit/screenshots/035-settings-hub-after.png,The identity card broke email domains across lines and settings used internal build and lifecycle wording,fix(settings): simplify role-safe account hub,boundary test typecheck lint 30 shared core flows and final 19 parent athlete flows passed,React Native may shrink the email to preserve one line while screen readers retain the full address
UI-013,SETTINGS-PARENT-CAPABILITY,Parent-only Children action exposed to athlete,athlete and parent,app/settings/index.tsx,Settings,athlete-only account,responsive browser viewport,staging,Athlete opens Settings,Athlete account has no parent capability,2,role visibility,Inspect visible account actions,Show Children only to an actual parent or guardian,Athlete no longer sees Children while the parent account retains it,,No child request from athlete settings,,family relationship,No change,Default deny at UI capability boundary,,,,athlete and parent,Athlete loses the dead parent action and parent keeps family access,passed,passed,passed,passed,passed,shared React Native screen; native interaction pending,role-safe family and football account settings,passed,action removed from athlete accessibility order; native semantic blocked,fixed,high,reviews/ios-native-audit/screenshots/036-athlete-children-action-before.png | reviews/ios-native-audit/screenshots/037-athlete-children-action-removed.png,The screen inferred parent access from not being a coach instead of using the existing parent capability,fix(settings): simplify role-safe account hub,boundary test typecheck lint and final 19 parent athlete flows passed,This removes a dead control and does not widen backend family authority
UI-014,ATHLETE-LINKED-IDENTITY,Athlete self profile identity,athlete,/development/my-progress,My Progress and shared self-subject flows,authenticated linked athlete,iPhone 16 Pro and responsive browser viewport,staging,Athlete login then My Progress,User ID and linked Athlete ID intentionally differ,1,identity and cross-role,Open self progress home health media bookings and group registration,Every athlete-scoped request uses canonical Athlete.id while actor writes retain User.id,Auth profile returns the linked athlete ID; refreshed My Progress requests use it and render Alfie Barton with sessions feedback goal and badge,/v1/auth/me and /v1/athletes/:athleteId/*,HTTP 200; zero post-refresh requests to the derived phantom athlete ID,,User Athlete SessionFeedback AthleteBadge Goal BookingParticipant,Athlete.userId resolves the exact athlete entity; the real profile holds feedback goals badges and bookings,Direct RLS preflight passed; backend authz allowed athlete self,auth.login SUCCESS; progress-read audit verification pending,,Sentry query unavailable in current task,athlete parent and coach,Athlete self now agrees with the athlete entity already used by parent and coach views,passed,passed,passed,passed,passed,Shared React Native code; live browser passed; native interaction blocked by DevToolsSecurity,football development identity,passed,Browser accessibility snapshot passed; native semantics blocked,fixed,high,reviews/ios-native-audit/screenshots/038-linked-athlete-progress-fixed.png | reviews/ios-native-audit/screenshots/039-linked-athlete-native-retest-blocked.png,The app invented an athlete ID by swapping the usr_ prefix for ath_ and queried an empty phantom profile,fix(identity): use linked athlete profile,live API and browser passed; native interaction blocked,The auth profile now carries the canonical Athlete.userId link; signed-in user ID remains the actor for writes and audit events
UI-015,CONNECTIVITY-STATUS-AUTHORITY,Connectivity banner state and layout,all authenticated users,app/_layout.tsx,OfflineBanner,online offline and reconnected,iPhone 16 Pro and responsive browser viewport,staging,Athlete login then connectivity toggle,Authenticated home fully loaded,1,connectivity and accessibility,Reload online then force offline and restore online,No banner online; one clear banner offline; content never obscured; API mode does not promise queued writes,Online renders no banner; offline pushes content down and says check connection; recovery removes the alert,/v1/*,All pre-toggle reads 200; expected request failures only while browser was deliberately offline,,,No writes,Not applicable,No audit event expected for local connectivity state,,No application exception; Sentry query unavailable,all authenticated roles,Shared root behavior is consistent across roles,passed,not applicable,passed,passed,passed,Shared React Native root; browser transition passed; native interaction blocked by DevToolsSecurity,not applicable,passed,Inactive alert is unmounted; offline alert uses a polite live region; native semantics blocked,fixed,medium,reviews/ios-native-audit/screenshots/040-offline-banner-api-copy.png | reviews/ios-native-audit/screenshots/041-online-banner-hidden.png,A stale startup fetch could override healthy connectivity; the absolute animated banner covered the header and API copy falsely promised queued sync,fix(ui): make offline state authoritative,online offline and recovery browser states passed; native interaction blocked,Web uses navigator connectivity while native retains NetInfo; the banner has one state source and occupies layout space
UI-016,DEVELOPMENT-FEEDBACK-VISIBILITY,Athlete development feedback authorization,athlete parent and assigned coach,/development/athlete/:athleteId,Athlete Progress,linked cross-role read,iPhone 16 Pro and responsive browser viewport,staging,Direct development route after role login,Linked athlete with guardian assigned coach and session feedback,1,authorization and control visibility,Request coach visibility as parent and athlete then open the screen in all three roles,The server derives feedback visibility from authenticated authority; only a guardian can edit the family-owned position field,Parent and athlete requests for viewerRole=coach were audited at their effective roles with no private notes; parent alone saw Edit while athlete and coach saw read-only position,/v1/athletes/:athleteId/session-feedback and /v1/session-feedback,HTTP 200 for authorized reads; parent and athlete forced-coach queries returned no private notes; assigned-coach positive control retained private notes,Live request IDs matched persisted audit rows during the run,User Athlete SessionFeedback AuditEvent GuardianChildLink Booking BookingParticipant,Staging feedback and role relationships read successfully; no destructive data mutation,Direct RLS preflight passed; API authorization remained the external boundary,session_feedback.read SUCCESS with requestedViewerRole=coach and effective viewerRole=parent or athlete,,Sentry query unavailable in current task,athlete parent and assigned coach,Athlete and parent cannot elevate feedback visibility; coach retains assigned private access; only parent sees the profile edit control,passed,passed,passed,passed,passed,Shared React Native screen; responsive runtime passed; native role interaction remains blocked by host DevToolsSecurity,football development feedback,passed,Edit control has an outcome label and is absent when the actor cannot complete it,fixed,high,reviews/ios-native-audit/screenshots/042-parent-development-authorized-controls.png | reviews/ios-native-audit/screenshots/043-athlete-development-read-only.png | reviews/ios-native-audit/screenshots/044-coach-development-read-only.png,The API trusted a caller-controlled viewerRole and could return coach-private notes to an authorized parent or athlete; athlete and coach also saw a family profile edit control that the API correctly rejected,fix(security): derive development visibility from authority,API test covered coach parent athlete and outsider; live staging API audit and three-role responsive UI passed; native interaction blocked,The client now requests its real role and preserves API accountType; the API independently derives effective visibility and records requested versus effective role
UI-008,CHILD-PROFILE-FIELD-FORMAT,Parent child profile field presentation,parent,app/development/child-progress/[childId].tsx,Child Progress profile tab,loaded,responsive browser viewport,staging,Parent opens child progress,Linked child profile loaded from API,1,profile,Inspect date of birth and relationship,Human-readable date and relationship label,Date of birth renders as 18 Feb 2014 and relationship as Other instead of an ISO timestamp and enum,/v1/athletes/:athleteId,pass,,athlete and guardian child link,unchanged,unchanged,,,,parent,Parent sees readable profile facts,passed,passed,passed after fix,passed after fix,passed,shared code; native interaction pending,football and child safety context retained,passed,automated controls passed; native semantic blocked,fixed,medium,reviews/ios-native-audit/screenshots/025-child-profile-fields-formatted.png,Child profile rendered a raw ISO date and backend relationship enum,fix(family): format child profile fields,field-format retest passed; fixture contamination remains open,The remaining raw timestamp detector is inside smoke-contaminated medical values and belongs to QA-003; React Doctor scored 96 with the pre-existing large-component warning deferred
API-002,STAGING-SMOKE-TARGET-GUARD,Staging smoke production guard,system,apps/api/scripts/staging-smoke.ts,Staging smoke runner,startup,local process,all targets,npm run smoke:staging,Environment file may be overridden by existing process variables,1,fail closed,Start smoke with a production target or production-looking database URL,Abort before application startup or database access,Runner validates staging target production hints and database URL before building the API,startup guard,production overrides rejected before request handling,,database connection,not opened on rejected target,not applicable,,,,all,Production-target runs stop before writes,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,fixed,high,apps/api/scripts/staging-smoke.ts | docs/architecture/runtime-modes.md,The staging write-smoke runner trusted an existing DATABASE_URL without asserting a staging target,fix(api): guard staging smoke target,production target and production-looking URL rejected; API typecheck passed,NODE_ENV=production remains allowed because staging intentionally exercises release behavior
QA-001,ATHLETE-CHAT-LIST-AUDIT,Chat list browser audit route,athlete,/chat,Messages,authenticated athlete,responsive browser viewport,staging,Automated role flow,Athlete credentials and local web bundle loaded,1,route alias,Open the athlete chat list,The public chat alias redirects to the Messages tab,The runner now opens /chat and lands on /messages instead of treating index as a thread ID,,no failed requests,,,,,,,,athlete,Athlete reaches the real message list,passed,passed,passed after fix,passed after fix,passed,shared route; native interaction pending,not applicable,passed,browser controls passed; native semantic blocked,fixed,medium,reviews/ios-native-audit/screenshots/013-athlete-chat-audit-route-before.png | reviews/ios-native-audit/screenshots/014-athlete-chat-audit-route-after.png,The audit runner opened /chat/index; Expo Router treated index as a thread ID and the runner marked the visible error clean,fix(audit): use public chat list route,13 athlete flows passed with fail-on medium,The runner now also fails any happy-path flow that renders the shared Something went wrong state
UI-004,ATHLETE-PROGRESS-AVATAR,Athlete progress identity layout,athlete and shared avatar users,/development/athlete/:athleteId,Athlete Progress,loaded profile,responsive browser viewport,staging,Seeded athlete role flow,Child profile has a placeholder photo URL,1,profile header,Render the athlete identity,Show a photo or initials without obscuring the athlete name,The shared Avatar renders initials for the known placeholder host and the hero no longer prints a URL as text,https://cdn.clubroom.demo/*,no request after fix,,,,,,,,athlete and shared avatar users,Identity remains legible and placeholder media does not trigger network failures,passed,passed,passed after fix,passed after fix,passed,shared native component; native interaction pending,passed,passed,image accessibility label preserved; native semantic blocked,fixed,high,reviews/ios-native-audit/screenshots/015-athlete-progress-avatar-before.png | reviews/ios-native-audit/screenshots/016-athlete-progress-avatar-after.png,A placeholder photo URL was rendered as avatar text and then fetched from a non-resolving host when image rendering was corrected,fix(ui): render safe athlete avatars,2 URL tests file lint changed-file review and 13 athlete flows passed,Repo typecheck was blocked by unrelated concurrent coach-profile edits
UI-005,BOOKING-CALENDAR-DATE-LAYOUT,Booking calendar date strip,parent and self-booking athlete,/book/:coachId/schedule,Choose date and time,no date selected,responsive browser viewport,staging,Seeded parent booking flow,Coach offering and availability loaded,2,booking schedule,Choose a date,Dates remain legible and compact at phone width,Four fixed-width date controls render in a horizontal strip with no character wrapping,,no failed requests,,,,,,,,parent and self-booking athlete,Booking date controls are readable and expose selected disabled and availability state,passed,passed,passed after fix,passed after fix,passed,shared React Native component; native interaction pending,passed,passed,explicit accessible labels and state; native semantic blocked,fixed,high,reviews/ios-native-audit/screenshots/017-booking-calendar-before.png | reviews/ios-native-audit/screenshots/018-booking-calendar-after.png,Percent-width date cards wrapped weekday labels one character per line and made the calendar several screens tall,fix(booking): make date choices legible,Typecheck file lint and 22 parent flows passed with fail-on medium,Horizontal gesture and VoiceOver order remain native-test pending
UI-006,FAMILY-OVERVIEW-SIMPLIFICATION,Family overview copy and hierarchy,parent and guardian,/family,Family,loaded overview,responsive browser viewport,staging,Seeded parent role flow,Authenticated family member,1,overview,Choose a family task,Show direct task labels and the required privacy boundary without product rationale,Removed the promotional hero animation redundant subtitle architecture language and decorative CTA icon; shortened action and privacy copy,,no failed requests,,,,,,,,parent and guardian,Family tasks remain available with less copy and clearer trust language,passed,passed,passed after fix,passed after fix,passed,shared React Native screen; native interaction pending,passed,passed,action labels retained; native semantic blocked,fixed,medium,reviews/ios-native-audit/screenshots/019-family-overview-before.png | reviews/ios-native-audit/screenshots/020-family-overview-after.png,The screen explained its information architecture to families and used an animated hero before the real tasks,fix(family): simplify the family overview,Typecheck file lint React Doctor 100 and 12 parent-core flows passed,Privacy copy keeps assignment-based visibility explicit
QA-002,OWNER-OVERSIGHT-ROLE,Owner oversight audit identity,club owner and admin,/manage/head-coach?clubId=:clubId,Coach oversight,authorised club admin,responsive browser viewport,staging,Automated cross-role flow,Seeded owner account and club available,1,cross-role authority,Open owner oversight,Exercise the authorised owner path and load club-scoped data,The flow now uses the admin account and explicit club context instead of a normal coach account,/v1/clubs/:clubId/head-coach/oversight,200,,,,,,,,club owner admin and head coach,Authorised role loads the oversight data; normal coach remains default denied,passed,passed,passed after fix,passed after fix,passed,shared route; native interaction pending,passed,passed,browser route and role assertion passed; native semantic blocked,fixed,high,reviews/ios-native-audit/screenshots/021-oversight-wrong-role-before.png | reviews/ios-native-audit/screenshots/022-oversight-admin-before.png,The flow was named owner but logged in as a normal coach and only proved the empty denied state,fix(oversight): audit the authorised owner view,2 admin flows passed with fail-on medium,No destructive oversight actions executed
UI-007,OWNER-OVERSIGHT-SIMPLIFICATION,Coach oversight hierarchy and copy,club owner admin and head coach,/manage/head-coach?clubId=:clubId,Coach oversight,loaded full-club scope,responsive browser viewport,staging,Seeded owner role flow,Authorised club oversight membership,1,overview,Review club delivery,Show club context and key metrics without internal implementation language,Shortened the header and scope; removed org-global runtime-surface and product wording; metrics now form a stable two-by-two grid,/v1/clubs/:clubId/head-coach/oversight,200,,,,,,,,club owner admin and head coach,Oversight remains club-scoped and operational controls are unchanged,passed,passed,passed after fix,passed after fix,passed,shared React Native screen; native interaction pending,passed,passed,existing accessible controls retained; native semantic blocked,fixed,medium,reviews/ios-native-audit/screenshots/022-oversight-admin-before.png | reviews/ios-native-audit/screenshots/023-oversight-admin-after.png,The authorised screen used internal scope language oversized context cards and unstable metric widths,fix(oversight): audit the authorised owner view,Typecheck file lint and 2 admin flows passed with fail-on medium,React Doctor still flags the pre-existing screen size for later component extraction
UI-002,COACH-SESSION-INVITES-NESTED-ACTION,Session invite card actions,coach and invite recipients,/session-invites,Session invites,cards with inline actions,responsive browser viewport,staging,Seeded coach login,Sent and received invites exist,1,interactive card,Open details or use inline invite action,Each intent is a valid independent control,Card is non-interactive; its header opens details and inline actions are sibling controls,,,,,,,,,,coach and invite recipients,Details and inline actions remain available without nested buttons,passed,passed,passed,review needed,passed,shared code; native interaction pending,passed,passed,static and browser pass,fixed,medium,reviews/ios-native-audit/screenshots/009-session-invites-nested-before.png | reviews/ios-native-audit/screenshots/010-session-invites-controls-fixed.png,Interactive SurfaceCard contained nested Clickable buttons,fix(invites): separate card and inline actions,source boundary and browser flow passed; native pending,Browser metric nestedButtons is now zero
AUTHZ-001,COACH-CLUB-SETTINGS-READONLY,Read-only club settings data boundary,coach,/club/settings,Club settings,non-manager membership,responsive browser viewport,staging,Direct route,Coach belongs to club without management capability,1,default deny,Load read-only settings,Load only data the coach may read,Manager-only squad member and invite-code subreads are skipped; details and branding load,/v1/clubs/:clubId/invite-codes,no request after fix,,,,,,,,coach,Read-only settings loads without forbidden network calls,passed,review needed,review needed,passed,passed,shared code; native interaction pending,not applicable,passed,static pass,fixed,medium,reviews/ios-native-audit/screenshots/005-club-settings-safe-error-after.png | reviews/ios-native-audit/screenshots/006-club-settings-readonly-loaded.png,Read-only route performed manager-only data requests,fix(club): skip manager data in read-only settings,boundary test and browser flow passed; native pending,Editable controls are a separate UI-003 defect
UI-003,COACH-CLUB-SETTINGS-READONLY-CONTROLS,Read-only club settings controls,coach and club admin,/club/settings,Club settings details,permission-aware controls,responsive browser viewport,staging,Direct route by coach then club admin,Seeded coach and club-admin memberships,1,cross-role permission UI,Inspect details controls for both roles,Coach sees plain values; club admin keeps editable fields and Save changes,Coach edit controls removed and copy shortened; admin retains three labelled fields and Save changes,,no flow errors,,,,,,,,coach and club admin,Controls now match each role capability,passed,passed,passed after fix,passed after fix,passed,shared code; native interaction pending,not applicable,passed,static pass; labelled admin fields,fixed,medium,reviews/ios-native-audit/screenshots/006-club-settings-readonly-loaded.png | reviews/ios-native-audit/screenshots/007-club-settings-readonly-controls-fixed.png | reviews/ios-native-audit/screenshots/008-club-settings-admin-controls-retained.png,Read-only permission state contradicted the edit controls shown,fix(club): align settings controls with role access,coach flow and club-admin cross-role assertion passed; native pending,No destructive save action executed
